,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,try_Snippet,powo_Snippet,Compiled_Sources
133,704393-1,Helicia cochinchinensis,Helicia cochinchinensis,704393-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
134,70452-1,Rhus chinensis,Rhus chinensis,70452-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
135,718256-1,Rhamnus cathartica,Rhamnus cathartica,718256-1,Species,Thorn / spine length:10mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
136,718786-1,Sageretia henryi,Sageretia henryi,718786-1,Species,"Leaf Spines: marginal:yes,Leaf spines:adaxial",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
137,718872-1,Scutia myrtina,Scutia myrtina,718872-1,Species,Thorn / spine length:0.48mm,,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
138,719199-1,Ziziphus fungii,Ziziphus fungii,719199-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
139,719359-1,Ziziphus mucronata,Ziziphus mucronata,719359-1,Species,"Thorn / spine length:0.64mm,Thorn / spine length:0.76mm,Thorn / spine length:0.7mm,Thorn / spine length:0.82mm,Thorn / spine length:0.92mm,Thorn / spine length:0.9mm,Thorn / spine length:1.22mm,Thorn / spine length:1.24mm,Thorn / spine length:3.32mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
140,72000-1,Alphonsea monogyna,Alphonsea monogyna,72000-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
141,723452-1,Crataegus germanica,Crataegus germanica,723452-1,Species,Spinescence / thorniness:2,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
142,723820-1,Crataegus monogyna,Crataegus monogyna,723820-1,Species,"Spinescence / thorniness:2,Thorn / spine length:22mm,Thorn density:1",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
143,724590-1,Dasiphora fruticosa,Dasiphora fruticosa,724590-1,Species,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
144,72604-1,Cleistochlamys kirkii,Cleistochlamys kirkii,72604-1,Species,"Thorn / spine length:0.14mm,Thorn / spine length:0.18mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
145,726415-1,Malus sylvestris,Malus sylvestris,726415-1,Species,Spinescence / thorniness:2,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
146,727386-1,Photinia glabra,Photinia glabra,727386-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
147,729370-1,Pourthiaea arguta,Pourthiaea arguta,729370-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
148,729709-1,Prunus fenzliana,Prunus fenzliana,729709-1,Species,Thorn / spine length:4mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
149,730297-1,Prunus spinosa,Prunus spinosa,730297-1,Species,"Thorn / spine length:20mm,Thorn / spine length:28mm,Thorn density:1",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
150,730445-1,Prunus zippeliana,Prunus zippeliana,730445-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
151,731955-1,Rosa canina,Rosa canina,731955-1,Species,Thorn / spine length:5mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
152,732892-1,Rosa indica,Rosa indica,732892-1,Species,Stem thorny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
153,733047-1,Rosa laevigata,Rosa laevigata,733047-1,Species,Stem thorny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
154,733154-1,Rosa longicuspis,Rosa longicuspis,733154-1,Species,"Leaf spines:midrib/veins,Stem thorny:yes",,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
155,734215-1,Rosa sempervirens,Rosa sempervirens,734215-1,Species,Spinescence / thorniness:3,,"['TRY (Burrascano S, Copiz R, Del Vico E, Fagiani S, Giarrizzo E, Mei M, Mortelliti A, Sabatini FM, Blasi C (2015) Wild boar rooting intensity determines shifts in understorey composition and functional traits. COMMUNITY ECOLOGY 16(2) 244-253 DOI: 10.1556/168.2015.16.2.12)']"
156,735918-1,Rubus columellaris,Rubus columellaris,735918-1,Species,"Leaf thorn:yes,Stem thorny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
157,736023-1,Rubus corchorifolius,Rubus corchorifolius,736023-1,Species,"Leaf Spines: midrib/veins:yes,Leaf spines:midrib/veins,Stem thorny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
158,737519-1,Rubus ichangensis,Rubus ichangensis,737519-1,Species,"Leaf Spines: marginal:yes,Leaf Spines: midrib/veins:yes,Leaf spines:midrib/veins and marginal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
159,738269-1,Rubus malifolius,Rubus malifolius,738269-1,Species,"Leaf Spines: marginal:yes,Leaf Spines: midrib/veins:yes,Leaf spines:midrib/veins and marginal,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
160,738923-1,Rubus paniculatus,Rubus paniculatus,738923-1,Species,"Leaf thorn:yes,Stem thorny:yes",,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
161,738967-1,Rubus parvifolius,Rubus parvifolius,738967-1,Species,Stem spiny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
162,740982-1,Rubus ulmifolius,Rubus ulmifolius,740982-1,Species,"Spinescence / thorniness:3,Thorn / spine length:8mm",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
163,741131-1,Rubus vestitus,Rubus vestitus,741131-1,Species,"Thorn / spine length:3mm,Thorn density:2",,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
164,741293-1,Rubus xanthocarpus,Rubus xanthocarpus,741293-1,Species,"Leaf Spines: midrib/veins:yes,Leaf spines:midrib/veins,Stem thorny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
165,742430-1,Spiraea ouensanensis,Spiraea ouensanensis,742430-1,Species,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
166,745464-1,Canthium horridum,Canthium horridum,745464-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
167,745470-1,Canthium inerme,Canthium inerme,745470-1,Species,"Spinescence / thorniness:yes,Thorn / spine length:0.87mm,Thorn / spine length:1.54mm",,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
168,748107-1,Damnacanthus indicus,Damnacanthus indicus,748107-1,Species,Stem spiny:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
169,750968-1,Gardenia cornuta,Gardenia cornuta,750968-1,Species,Thorn / spine length:0.6mm,,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
170,760797-1,Plectroniella armata,Plectroniella armata,760797-1,Species,"Thorn / spine length:0.84mm,Thorn / spine length:1.14mm,Thorn / spine length:1.5mm,Thorn / spine length:1.94mm,Thorn / spine length:1mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
171,765218-1,Rubia cordifolia,Rubia cordifolia,765218-1,Species,"Leaf Spines: lower:yes,Leaf spines:abaxial,Stem spiny:yes",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
172,767683-1,Tetrastigma hemsleyanum,Tetrastigma hemsleyanum,767683-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
173,768268-1,Uncaria laevigata,Uncaria laevigata,768268-1,Species,Stem spiny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
174,77080011-1,Iris oxypetala,Iris oxypetala,77080011-1,Species,Leaf Spines: terminal:yes,,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
175,77087189-1,Vachellia karroo,Vachellia karroo,77087189-1,Species,"Thorn / spine length:1.14mm,Thorn / spine length:1.16mm,Thorn / spine length:1.26mm,Thorn / spine length:1.3mm,Thorn / spine length:1.4mm,Thorn / spine length:1.54mm,Thorn / spine length:1.74mm,Thorn / spine length:2.04mm,Thorn / spine length:2.46mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
176,77087190-1,Vachellia tortilis,Vachellia tortilis,77087190-1,Species,"Thorn / spine length:0.72mm,Thorn / spine length:0.74mm,Thorn / spine length:1.04mm,Thorn / spine length:2.9mm,Thorn / spine length:3.88mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
177,77088480-1,Searsia paniculata,Searsia paniculata,77088480-1,Species,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
178,77089267-1,Senegalia caffra,Senegalia caffra,77089267-1,Species,"Thorn / spine length:0.19mm,Thorn / spine length:0.22mm,Thorn / spine length:0.26mm,Thorn / spine length:0.38mm,Thorn / spine length:0.41mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
179,77089270-1,Senegalia nigrescens,Senegalia nigrescens,77089270-1,Species,"Thorn / spine length:0.27mm,Thorn / spine length:0.34mm,Thorn / spine length:0.4mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
180,77089274-1,Vachellia gerrardii,Vachellia gerrardii,77089274-1,Species,"Thorn / spine length:0.92mm,Thorn / spine length:1.34mm,Thorn / spine length:1.64mm,Thorn / spine length:2mm,Thorn / spine length:3.18mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
181,77089275-1,Vachellia nilotica,Vachellia nilotica,77089275-1,Species,"Spinescence / thorniness:5,Thorn / spine length:0.66mm,Thorn / spine length:0.9mm,Thorn / spine length:1.44mm,Thorn / spine length:1.82mm,Thorn / spine length:1.88mm,Thorn / spine length:1.9mm,Thorn / spine length:2.14mm,Thorn / spine length:2.26mm,Thorn / spine length:2.4mm,Thorn / spine length:2mm,Thorn / spine length:3.06mm,Thorn / spine length:3.52mm,Thorn / spine length:3.76mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
182,77092562-1,Larix gmelinii,Larix gmelinii,77092562-1,Species,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
183,77095032-1,Pinus sylvestris var. mongholica,Pinus sylvestris,263353-1,Variety,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
184,77125575-1,Senegalia pennata,Senegalia pennata,77125575-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
185,77130555-1,Smilax chinensis,Smilax chinensis,77130555-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
186,77130763-1,Senegalia burkei,Senegalia burkei,77130763-1,Species,"Thorn / spine length:0.24mm,Thorn / spine length:0.32mm,Thorn / spine length:0.35mm,Thorn / spine length:0.44mm,Thorn / spine length:2.5mm",,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
187,77183777-1,Staphylea arguta,Staphylea arguta,77183777-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
188,77189030-1,Quercus aliena var. acuteserrata,Quercus aliena,295765-1,Variety,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
189,77190043-1,Olea europaea subsp. cuspidata,Olea europaea,610675-1,Subspecies,Leaf spines:terminal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
190,77194041-1,Zanthoxylum asiaticum,Zanthoxylum asiaticum,77194041-1,Species,Stem thorny:yes,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
191,77207160-1,Rhaphiolepis bengalensis,Rhaphiolepis bengalensis,77207160-1,Species,Leaf spines:marginal,,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
192,77210425-1,Stranvaesia bodinieri,Stranvaesia bodinieri,77210425-1,Species,"Leaf Spines: marginal:yes,Leaf spines:marginal",,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
193,77226175-1,Rhamnus erythroxyloides subsp. erythroxyloides,Rhamnus erythroxyloides,927796-1,Subspecies,Thorn / spine length:10mm,,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
